input_text,product,quantity,price_satuan,pattern
empal telor penyet dua plastik ya sore [SEP] rincian pesanan: empal telor penyet (82.000) jadi rp 82.000 ya kak,empal telor penyet,dua plastik,82000,2
pesan sebox nasi bebek mumer porsi gede deh [SEP] total tagihan 361.000 untuk nasi bebek mumer harga 361.000 per item ya,nasi bebek mumer,sebox,361000,1
bungkusin setengah iced cafe latte large [SEP] baik kak,iced cafe latte large,setengah,-1,1
"hallo pagi bisa pesan sekotak crispy spicy chicken burger cepet ya dong min [SEP] baik, 297rb ya kak rinciannya crispy spicy chicken burger harganya 297rb",crispy spicy chicken burger,sekotak,297000,1
bungkusin 19 mie raja goreng seafood paket ya bu [SEP] rincian pesanan: mie raja goreng seafood (22000k) jadi 22000rb ya kak,mie raja goreng seafood,19,22000000,3
"mau dua paket hazelnut latte tambah 21 nasi cap cay ya bang [SEP] siap kak, hazelnut latte 50 ribu dan nasi cap cay 65.000, jadi total 115rb ya",hazelnut latte & nasi cap cay,dua paket & 21,-1,4
mau pesen buat 25 ayam goreng plus nasi esnya dikit aja doang [SEP] total tagihan rp597rb untuk ayam goreng plus nasi harga rp 597.000 per item ya,ayam goreng plus nasi,25,597000,1
buatin nasi ayam penyet buat arisan dua thinwall kah [SEP] oke nasi ayam penyet harga 940rb total 940.000 ya kak,nasi ayam penyet,dua thinwall,940000,1
nasi telor balado pisahin kuahnya yang 778k pesen 22 deh min [SEP] total tagihan rp 778.000 untuk nasi telor balado harga 778k per item ya,nasi telor balado,22,778000,1
beli nasi campur 417.000 an enam makasih [SEP] siap kak nasi campur 417.000 total rp 417.000 ya,nasi campur,enam,417000,2
kak masih ada es choco cococrunch l? kalau ada mau 17 buat bekel sekolah ya min [SEP] oke kak es choco cococrunch l harganya 84 ribu totalnya rp84rb,es choco cococrunch l,17,84000,1
"pesan tamie cap cay seporsi paket, oh iya sekalian nasi penyet ayam sambal ijo empat ya [SEP] noted kak tamie cap cay seporsi 740rb sama nasi penyet ayam sambal ijo empat 56k, total rp796rb",tamie cap cay & nasi penyet ayam sambal ijo,seporsi & empat,-1,4
nitip 6 chocotown cha cha cha pisahin kuahnya ya [SEP] ttl tagihan 737 rebu untuk chocotown cha cha cha harga 737rb per item ya,chocotown cha cha cha,6,737000,3
teh tiga piring rawon yang kyk biasa deh min [SEP] noted kak rawon rp83rb totalnya 83k,rawon,tiga piring,83000,1
juragan lima cup chicken ramen pake sambel ijo gercep ya [SEP] siap chicken ramen 442.000 totalnya 442 ribu kak,chicken ramen,lima cup,442000,1
boleh pesan 22 sei ayam bambu family size pedes mampus gercep ya [SEP] siap kak sei ayam bambu family size 31000k total rp 31000.000 ya,sei ayam bambu family size,22,31000000,2
pesen nasi ayam taliwang nya 7 ya bu [SEP] baik kak nasi ayam taliwang rp 779.000 satuan totalnya rp779rb,nasi ayam taliwang,7,779000,2
nitip 17 nasi campur ayam goreng kampung untuk anak saya saja [SEP] siap kak nasi campur ayam goreng kampung 187.000 total rp 187.000 ya,nasi campur ayam goreng kampung,17,187000,1
"malam nasi ayam krengsengan lengkap anget aja dua gelas tuh [SEP] siap, segera diproses",nasi ayam krengsengan lengkap,dua gelas,-1,3
"beli dua thinwall nasi penyetan bebek esnya dikit aja deh kak [SEP] baik, 414rb ya kak rinciannya nasi penyetan bebek harganya rp414rb",nasi penyetan bebek,dua thinwall,414000,1
bungkusin sedus teh hijau anget aja dong mbaaass [SEP] noted kak teh hijau rp619rb totalnya 619rb,teh hijau,sedus,619000,3
mau ayam masak jamur jumlahnya tiga dong mas [SEP] siap ayam masak jamur rp24rb totalnya rp24rb kak,ayam masak jamur,tiga,24000,2
"aku pesen sekotak es teh manis jumbo sekalian es beng beng sekotak ya [SEP] baik kak, sekotak es teh manis jumbo (71.000) + sekotak es beng beng (23.000) = 94 ribu ya",es teh manis jumbo & es beng beng,sekotak & sekotak,-1,4
"bude 9 extra chicken patty + lima nasi goreng smoke ham ya min [SEP] noted kak extra chicken patty 9 56k sama nasi goreng smoke ham lima rp 291.000, total 347.000",extra chicken patty & nasi goreng smoke ham,9 & lima,-1,4
buatin es susu coklat 19 [SEP] oke siap kak,es susu coklat,19,-1,1
kak mau order 5 cookies and ice cream sandwich titipan bos cepet ya [SEP] siap cookies and ice cream sandwich 41000k totalnya 41000.000 kak,cookies and ice cream sandwich,5,41000000,1
"ibu pesen sebungkus nasi penyetan bebek dan se-thinwall nasi goreng mawut yah [SEP] noted kak nasi penyetan bebek sebungkus rp83rb sama nasi goreng mawut se-thinwall 27000k, total 27083 ribu",nasi penyetan bebek & nasi goreng mawut,sebungkus & se-thinwall,-1,4
"ani mau setengah porsi nasi nila rica rica copa sama 18 nasi penyetan mujair ya mas [SEP] pesanan: nasi nila rica rica copa 3000k, nasi penyetan mujair rp227rb. Total bayar = 3227.000",nasi nila rica rica copa & nasi penyetan mujair,setengah porsi & 18,-1,4
"halo admin mau dua botol nasi loobak sama 11 cumi saos tiram petenasi suwun [SEP] noted kak nasi loobak dua botol rp 320.000 sama cumi saos tiram petenasi 11 17 ribu, total 337rb",nasi loobak & cumi saos tiram petenasi,dua botol & 11,-1,4
bang hot ilusi kopi pake ojol dua plastik deh mas [SEP] rincian pesanan: hot ilusi kopi (rp72rb) jadi 72.000 ya kak,hot ilusi kopi,dua plastik,72000,1
order nasi telur kulit bakar paket untuk 1 ya gan [SEP] nasi telur kulit bakar rp73rb ya kak jadi 73 ribu,nasi telur kulit bakar,1,73000,2
"nasi dendeng batoko 22 bungkus dan 18 kopi susu kebun pandan iced buruan ya [SEP] pesanan: nasi dendeng batoko 77rb, kopi susu kebun pandan iced 5000k. Total bayar = rp5077rb",nasi dendeng batoko & kopi susu kebun pandan iced,22 & 18,-1,4
mau pesen buat porsi gede mie ayam ala mami level 5 donggg [SEP] oke mie ayam ala mami harga 26rb total 26k ya kak,mie ayam ala mami,porsi gede,26000,2
"bungkusin tiga cup cheesy chicken cutlet curry makan sini ya [SEP] halo kak, pesanan cheesy chicken cutlet curry seharga 129k sudah kami proses, total bayar 129.000",cheesy chicken cutlet curry,tiga cup,129000,2
"mau sepiring es sarang burung tambah sekotak cookies jahe besar siap ditunggu [SEP] baik kak, sepiring es sarang burung (5000k) + sekotak cookies jahe besar (rp 471.000) = rp 5471.000 ya",es sarang burung & cookies jahe besar,sepiring & sekotak,-1,4
aa 19 martabak skippy keju tebal wisman buat buka puasa dong mamas [SEP] noted kak martabak skippy keju tebal wisman 74 ribu totalnya 74rb,martabak skippy keju tebal wisman,19,74000,3
"mbak chicken bbq dibungkus empat dong mas [SEP] halo kak, pesanan chicken bbq seharga 387rb sudah kami proses, total bayar 387.000",chicken bbq,empat,387000,2
mau nasi goreng kyogi jumlahnya lima deh mas [SEP] nasi goreng kyogi 30000 ribu ya kak jadi rp30000rb,nasi goreng kyogi,lima,30000000,1
"kak mau pesen 7 nasi goreng smoke ham bawa pulang dong mas [SEP] baik, langsung kami buatkan",nasi goreng smoke ham,7,-1,1
"dua pack pancong taro seloyang buat kantor kak [SEP] baik, 320 ribu ya kak rinciannya pancong taro seloyang harganya 320rb",pancong taro seloyang,dua pack,320000,1
wr wb pesen siomay penyet buat kantor yang harganya rp366rb 16 deh bang [SEP] noted kak siomay penyet rp366rb totalnya 366.000,siomay penyet,16,366000,3
joko pesen mie djoedes gokil pemula santai aja yang harganya rp919rb 16 dong [SEP] rincian pesanan: mie djoedes gokil pemula (rp919rb) jadi 919 ribu ya kak,mie djoedes gokil pemula,16,919000,2
bikin dua cup ayam penyet ekonomis anter sekarang suwun [SEP] siap kak ayam penyet ekonomis rp 781.000 total 781 ribu ya,ayam penyet ekonomis,dua cup,781000,2
bebek bakar plus nasi pake sambel ijo 9 aja oke ditunggu [SEP] noted kak bebek bakar plus nasi 740 ribu totalnya 740 ribu,bebek bakar plus nasi,9,740000,1
"mau 22 cheesy chicken cutlet curry buat kantor siap ditunggu [SEP] halo kak, pesanan cheesy chicken cutlet curry seharga 63.000 sudah kami proses, total bayar 63 ribu",cheesy chicken cutlet curry,22,63000,2
miehun goreng special 22 ya cuy [SEP] oke miehun goreng special harga rp 28.000 total 28 ribu ya kak,miehun goreng special,22,28000,1
malam order hot ilusi kopi tolong buruan 25 dong mbak [SEP] noted kak hot ilusi kopi 691 ribu totalnya rp 691.000,hot ilusi kopi,25,691000,1
hallo malam masih ada crispy chicken roll? kalau ada mau 10 buat buka puasa ya kak [SEP] oke crispy chicken roll harga 676 ribu total 676k ya kak,crispy chicken roll,10,676000,1
beli teh susu tersayang 16000.000 an 5 doang [SEP] teh susu tersayang 16000.000 ya kak jadi rp 16000.000,teh susu tersayang,5,16000000,1
"bakso aci pentol 14 bungkus dan 25 kari ayam dan misua cepet ya [SEP] noted kak bakso aci pentol 14 rp93rb sama kari ayam dan misua 25 58 ribu, total 151rb",bakso aci pentol & kari ayam dan misua,14 & 25,-1,4
pakde jus semangka jumbo esnya dikit aja dibikin seplastik ya [SEP] siap kak jus semangka jumbo 44.000 total 44 ribu ya,jus semangka jumbo,seplastik,44000,1
pakde chocolate brownies smores pisahin kuahnya dibikin tiga porsi ya [SEP] siap kak chocolate brownies smores 236rb total 236rb ya,chocolate brownies smores,tiga porsi,236000,1
"halo admin udang kelong goreng m anter sekarang lima kotak terima kasih [SEP] halo kak, pesanan udang kelong goreng m seharga 66k sudah kami proses, total bayar rp 66.000",udang kelong goreng m,lima kotak,66000,2
ibu pesen es soklat pelem pisahin kuahnya yang harganya 37k 8 dehh [SEP] siap es soklat pelem 37k totalnya 37k kak,es soklat pelem,8,37000,1
ibu order mie nyemek jumbo pisahin kuahnya 7 dong min [SEP] siap kak mie nyemek jumbo 36rb total rp 36.000 ya,mie nyemek jumbo,7,36000,1
buatin es susu strawberry 12 [SEP] oke noted,es susu strawberry,12,-1,3
"p order es kopi susu hoghock yang kyk biasa 3 oke ditunggu [SEP] baik, rp35000rb ya kak rinciannya es kopi susu hoghock harganya rp35000rb",es kopi susu hoghock,3,35000000,2
order cookies jahe besar porsi gede untuk 2 gan [SEP] siap cookies jahe besar 37k totalnya rp 37.000 kak,cookies jahe besar,2,37000,2
iced kopi tarik langsung proses ya 9 aja cepet ya [SEP] noted kak iced kopi tarik 581k totalnya rp 581.000,iced kopi tarik,9,581000,1
ummi nasi chasio buat acara keluarga tiga cup makasih [SEP] noks nasi chasio nharga 28k total rp 28.000 ya kak,nasi chasio,tiga cup,28000,3
pak pesen chicken cibcib porsi gede yang harganya 549rb porsi gede donggg [SEP] total tagihan 549.000 untuk chicken cibcib hrg 549rb per item ya,chicken cibcib,porsi gede,549000,3
"pesan mie kroyok pacar 14 yang kyk biasa, oh iya sekalian nasi rawon sapi 12 ya [SEP] baik kak, 14 mie kroyok pacar (97k) + 12 nasi rawon sapi (26rb) = 123 ribu ya",mie kroyok pacar & nasi rawon sapi,14 & 12,-1,4
buatin keju wijen susu yang kyk biasa 20 [SEP] baik kak keju wijen susu 58.000 satuan totalnya 58rb,keju wijen susu,20,58000,2
beli 18 nasi ayam bakar level 10 thanks [SEP] oke nasi ayam bakar harga 701k total 701 ribu ya kak,nasi ayam bakar,18,701000,2
mau pesen buat 14 ayam bakar nasi setengah porsi ya mas [SEP] pesanan masuk: ayam bakar nasi x 22k = rp22rb,ayam bakar nasi,14,22000,2
"mau secup kopi susu tambah segelas special ayam geprek mozarella ya pak [SEP] baik kak, secup kopi susu (rp 485.000) + segelas special ayam geprek mozarella (rp 27.000) = 512.000 ya",kopi susu & special ayam geprek mozarella,secup & segelas,-1,4
"kepala ayam tolong buruan 7 aja kah [SEP] baik, 23000 ribu ya kak rinciannya kepala ayam harganya rp 23000.000",kepala ayam,7,23000000,1
"boleh pesan 17 mie aceh special daging level dewa sekarang ya [SEP] baik, rp 99.000 ya kak rinciannya mie aceh special daging harganya rp 99.000",mie aceh special daging,17,99000,1
minta tiga botol bandreksusu bawa pulang oke ditunggu,bandreksusu,tiga botol,-1,1
mas order nasi ampela anter sekarang dua gelas terima kasih [SEP] siap kak nasi ampela 82.000 total 82rb ya,nasi ampela,dua gelas,82000,2
mau teh kundur jumlahnya 25 dong mbak [SEP] noted kak teh kundur rp22rb totalnya rp 22.000,teh kundur,25,22000,2
kak mau pesen dua mika ayam pukpuk nasi bawa pulang oke ditunggu [SEP] pesanan sedang disiapkan,ayam pukpuk nasi,dua mika,-1,1
"nasi goreng pete 15 ya hallo malam [SEP] baik, 47rb ya kak rinciannya nasi goreng pete harganya 47.000",nasi goreng pete,15,47000,3
buatin es soklat pelem 15 [SEP] oke siap kak,es soklat pelem,15,-1,3
pak bisa pesan semangkok telur ayam bagian kuning gak pake bawang cepet ya [SEP] siap kak telur ayam bagian kuning rp771rb total rp771rb ya,telur ayam bagian kuning,semangkok,771000,2
"bikin empat es boba choco cream level 10 ya [SEP] baik, 25000rb ya kak rinciannya es boba choco cream harganya rp 25000.000",es boba choco cream,empat,25000000,2
beli dua mangkuk mie sop ceker porsi kecil gan [SEP] oke mie sop ceker harga 644 ribu total rp644rb ya kak,mie sop ceker,dua mangkuk,644000,2
"kak mau pesen semangkok nasi belut ayam potong buat makan siang ya bu [SEP] oke, mohon ditunggu sebentar ya",nasi belut ayam potong,semangkok,-1,2
minta empat buttermilk fried chicken croffle titipan bos dong [SEP] buttermilk fried chicken croffle 20k ya kak jadi 20.000,buttermilk fried chicken croffle,empat,20000,2
"mille crepes nutela lima porsi + nasi organik dua pack ya [SEP] pesanan: mille crepes nutela rp 49.000, nasi organik rp 68.000. Total bayar = 117k",mille crepes nutela & nasi organik,lima porsi & dua pack,-1,4
"siti order teh sirsak pake sambel ijo 23 buruan ya [SEP] halo kak, pesanan teh sirsak seharga rp 43000.000 sudah kami proses, total bayar 43000 ribu",teh sirsak,23,43000000,2
"tolong siapin 3 bakso ranjau buat bekel sekolah kah [SEP] baik, rp311rb ya kak rinciannya bakso ranjau harganya rp311rb",bakso ranjau,3,311000,1
bungkusin dua botol banroll taro buat bekel sekolah deh kak [SEP] oke banroll taro harga 59 ribu total rp59rb ya kak,banroll taro,dua botol,59000,2
mau nasi siobak jumlahnya lima kotak terima kasih [SEP] total tagihan 71.000 untuk nasi siobak harga 71 ribu per item ya,nasi siobak,lima kotak,71000,1
minta 10 martabak telor goreng gak pake bawang deh mbak [SEP] pesanan sedang disiapkan,martabak telor goreng,10,-1,3
"minta 24 nasi goreng jumbo nyam nyam dibungkus cepet ya [SEP] baik, langsung kami buatkan",nasi goreng jumbo nyam nyam,24,-1,2
mau jus mangga jumlahnya 5 nih [SEP] oke kak jus mangga harganya 323rb totalnya 323k,jus mangga,5,323000,2
minta 12 nasi goreng sate ayam pake qris aja [SEP] baik kak nasi goreng sate ayam 46000rb satuan totalnya 46000 ribu,nasi goreng sate ayam,12,46000000,2
nitip 7 risol homemade ayam sayur pedas pake kotak pak [SEP] oke kak risol homemade ayam sayur pedas harganya 14 ribu totalnya 14 ribu,risol homemade ayam sayur pedas,7,14000,1
mau pesen buat dua mangkuk es cokelat susu krim buat bekel sekolah dong mas [SEP] baik kak es cokelat susu krim 23000rb satuan totalnya rp23000rb,es cokelat susu krim,dua mangkuk,23000000,2
mau 15 teh oreo besar pedes mampus budget 47k deh min [SEP] baik kak teh oreo besar 47k satuan totalnya 47 ribu,teh oreo besar,15,47000,2
mau dua plastik nasi bungkus kikil extra pedas budget 78 ribu ya bang [SEP] nasi bungkus kikil 78 ribu ya kak jadi rp 78.000,nasi bungkus kikil,dua plastik,78000,2
gan bakso aci special level dewa lima kotak saja [SEP] pesanan sedang disiapkan,bakso aci special,lima kotak,-1,3
hallo pagi bisa pesan tiga bungkus bihun gorengkuah anter sekarang dulu [SEP] oke bihun gorengkuah harga 326 ribu total rp326rb ya kak,bihun gorengkuah,tiga bungkus,326000,2
pesen ayam geprul dahsyat nya sebungkus deh [SEP] rincian pesanan: ayam geprul dahsyat (rp27000rb) jadi rp 27000.000 ya kak,ayam geprul dahsyat,sebungkus,27000000,1
"nitip dua plastik ayam tempe penyet tolong buruan deh min [SEP] baik, rp 133.000 ya kak rinciannya ayam tempe penyet harganya rp133rb",ayam tempe penyet,dua plastik,133000,1
bikin sebotol burger ayam makan sini terima kasih [SEP] noted kak burger ayam rp 32000.000 totalnya rp 32000.000,burger ayam,sebotol,32000000,1
rempelo ati bebekayam makan sini lima porsi aja terima kasih [SEP] baik kak rempelo ati bebekayam 56k satuan totalnya rp 56.000,rempelo ati bebekayam,lima porsi,56000,2
ibu masih ada nasi ampela? kalau ada mau dua paket pedes mampus deh mbak [SEP] siap nasi ampela 5 ribu totalnya 5.000 kak,nasi ampela,dua paket,5000,2
beli nasi goreng telur dadar rp599rb an 14 loh [SEP] siap kak nasi goreng telur dadar rp599rb total rp599rb ya,nasi goreng telur dadar,14,599000,1
rudi nasi ayam bakar makan sini tujuh kah [SEP] pesanan masuk: nasi ayam bakar x 71rb = 71 ribu,nasi ayam bakar,tujuh,71000,1
mau sebox nasi goreng ayam saus mentega buat kantor yaaa [SEP] siap kak nasi goreng ayam saus mentega 926.000 total 926rb ya,nasi goreng ayam saus mentega,sebox,926000,2
bakwan penyet dua box nasi goreng post kuliner lima pack [SEP] siap. bakwan penyet 85 ribu & nasi goreng post kuliner 20k. total semuanya rp105rb kak,bakwan penyet & nasi goreng post kuliner,dua box & lima pack,-1,4
malam order kopi susu rum regal level dewa 11 ya bang [SEP] pesanan masuk: kopi susu rum regal x 15.000 = rp15rb,kopi susu rum regal,11,15000,2
kk order roti pisang susu kasmaran pedas sedang dua mika sekarang ya [SEP] oke kak roti pisang susu kasmaran harganya 5.000 totalnya rp5rb,roti pisang susu kasmaran,dua mika,5000,2
pesan lima es milo cao jumbo esnya dikit aja bu [SEP] pesanan sedang disiapkan,es milo cao jumbo,lima,-1,2
hallo malam 9 bakso mercon iga pake sambel ijo ya min [SEP] oke bakso mercon iga harga 54 ribu total 54.000 ya kak,bakso mercon iga,9,54000,2
"chicken steak buat kantor 10, nasi nila asam pedas 23 ya pak [SEP] noted kak chicken steak 10 77 ribu sama nasi nila asam pedas 23 40k, total rp 117.000",chicken steak & nasi nila asam pedas,10 & 23,-1,4
