slang,formal
aa,kakak
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiez,habis
abiiiiisssss,habis
abiiiss,habis
abis,habis
abisan,habisnya
abisin,habiskan
abisnya,habisnya
abiss,habis
abisss,habis
abiz,habis
abizz,habis
abizzz,habis
abizzzz,habis
abs,habis
accny,persetujuannya
ad,ada
adaa,ada
adaaa,ada
adadikompas,ada di kompas
adain,adakan
adala,adalah
adaloh,ada lo
adapin,menghadapi
adatgorontalo,adat gorontalo
adatnye,adatnya
adatuh,ada itu
add,ada
adkah,adakah
adl,adalah
adlah,adalah
adlh,adalah
ado,ada
ahogers,ahoker
ahokers,ahoker
ahokfighter,ahok pejuang
ahokmasukbui,ahok masuk bui
ahoktidaksendiri,ahok tidak sendiri
ahsudalah,ah sudahlah
akk,administrasi kebijakan kesehatan
amaca,ah masa
ambik,ambil
ambilin,ambilkan
anget,hangat
angetin,hangatkan
antarabangsa,antara bangsa
anterin,antarkan
antoncharliyan,anton charliyan
antr,antar
aok,iya
apamaunya,apa maunya
appnya,aplikasinyya
arep,mau
arulin,pada bermain
aseng,asing
asibg,asing
aulyaa,auliya
awakmu,badanmu
aya,ada
ayashiyan,ayashiya
baang,abang
baangg,abang
babangnya,abangnya
badaaiii,badai
badaii,badai
baidab,biadab
bangg,abang
banx,abang
bapaak,bapak
bapaklu,bapakmu
bapanya,bapaknya
barangsiapa,barang siapa
bareskrim,badan reserse kriminal
basically,pada dasarnya
bayaranatausuruhan,bayaran atau suruhan
bayarin,bayarkan
bdan,badan
bdn,badan
belibet,berbelit
beliiin,belikan
beliin,belikan
belina,belinya
belio,beliau
bem,badan eksekutif mahasiswa
bembem,badan eksekutif mahasiswa
beribadat,beribadah
beritaterhangat,berita terhangat
beurang,beruang
bgks,bungkus
biadaa,biadab
biadap,biadab
binmas,binaan masyarakat
biruadanya,biru adanya
bisaa,bisa
bisaaa,bisa
bisax,bisanya
bisenye,bisanya
bistu,habis itu
bisya,bisa
biza,bisa
bks,bungkus
bl,beli
bli,beli
blingsatanya,belingsatan
blt,bantuan langsung tunai
bmi,body mass index
bnajarmasin,banjarmasin
bngks,bungkus
bnn,badan narkotika nasional
bntar,sebentar
bntr,sebentar
bokef,bokep
bokepasia,bokep asia
bokepasian,bokep asia
bokepbarat,bokep barat
bokepgratis,bokep gratis
bokephot,bokep hot
bokepindo,bokep indo
bokeponline,bokep online
bokepsma,bokep sma
bokepterb,bokep terbaru
boten,tidak
botolkosong,botol kosong
bp,bapak
bpak,bapak
bpd,badan permusyawaratan desa
bpi,bsm pembayaran instusi
bpk,bapak
bpkmu,bapakmu
bpknya,bapaknya
bpknyalah,bapaknyalah
bps,badan pusat statistik
brharga,berharga
brjuang,berjuang
brli,beli
brmslh,bermasalah
bronis,berondong manis
bs,bisa
bsa,bisa
bsn,badan standarisasi nasional
buangtabiat,buang tabiat
bul,kibul
bulshit,kibul
bumil,ibu hamil
buminusantara,bumi nusantara
bunggus,bungkus
bungkusin,bungkuskan
bungkuuussss,bungkus
bungkuuuuuuuuusss,bungkus
byaran,bayaran
byr,bayar
bz,bisa
cadasss,cadas
cepusupriyanto,cepu supriyanto
ceu,mbak
chatan,berkirim chat
ciap,siap
ciapa,siapa
cibuq,sibuk
cpa,siapa
dah,sudah
dalah,adalah
danainvestorasing,dana investor asing
dantaranya,diantaranya
dapa,ada apa
dapah,ada apa
daripaddatidda,dari pada tidak
darpada,daripada
dbuat,dibuat
dbunuh,dibunuh
dbwt,dibuat
dbyr,dibayar
depermasalahkan,dipermasalahkan
dh,sudah
dianter,diantar
dianterin,diantar
dibatalin,dibatalkan
dibayarin,dibayari
dibeliin,dibelikan
dibikin,dibuat
dibikinin,dibuatkan
dibikinkan,dibuatkan
dibuatx,dibuatnya
dibubari,dibubarkan
dibubarin,dibubarkan
dibucinin,dibudakcintakan
dibunderi,dibundari
dibutuhkn,dibutuhkan
diconfirm,dikonfirmasi
dihadapai,dihadapi
dihargain,dihargai
diingini,diinginkan
dikadalin,dikadali
dikenyataanya,pada kenyataannya
dikibulin,dikibuli
dikotak,di kotak
dilabelin,dilabeli
diluangin,diluangkan
dimasa,di masa
dimasalahkan,dipermasalahkan
dimasukin,dimasuki
dimasukkin,dimasuki
dimasyarakat,di masyarakat
dimaui,diinginkan
dimintain,dimintai
dinamakn,dinamakan
dingin,dingin-dingin
diormas,di organisasi masyarakat
dipacking,dibungkus
dipake,dipakai
dipakenya,dipakainya
dipilih dprd,dipilih aja daripada
dipilkada,di pilkada
diplomasipublik,diplomasi publik
diremes,diremas
diributin,diributkan
disadarin,disadarkan
disamain,disamakan
disebuah,di sebuah
disiapin,disiapkan
dismain,disamakan
ditungguin,ditunggu
dki,daerah khusus ibukota
dkm,dewan kemakmuran masjid
dmi,dewan masjid indonesia
dmkn,dimakan
dp,uang muka
dpc,dewan pimpinan cabang
dpke,dipakai
dripada,daripada
dripda,daripada
drp,daripada
drpada,daripada
drpd,daripada
drprd,daripada
dtggu,ditunggu
dtmbh,di tambah
dtnggu,ditunggu
dtunggu,ditunggu
dwaspadai,diwaspadai
ea,iya
ealah,iyalah
egak,tidak
emeessss,gemas
emeezzz,gemas
emeshh,gemas
emesshhh,gemas
emessss,gemas
engga,tidak
enggak,tidak
eomma,ibu
eonni,kakak
